mmsi,name,class,source
209239000,RIX STAR            ,,db_ships
209247000,BG SAPPHIRE         ,,db_ships
209248000,BG EMERALD          ,,db_ships
209255000,EDT PROTEA,,db_ships
209262000,ASTERION II         ,,db_ships
209264000,EVITA II            ,,db_ships
209272000,REM SERVER          ,,db_ships
209276000,ELBWAVE,,db_ships
209296000,BEETHOVEN           ,,db_ships
209297000,FRI SKIEN,,db_ships
209312000,ONEGO BORA          ,,db_ships
209313000,RIX LAKE            ,,db_ships
209314000,JUTLAND,,db_ships
209317000,CYMONA STAR         ,,db_ships
209318000,SIGYN W             ,,db_ships
209332000,RIX PACIFIC,,db_ships
209336000,RIX ALLIANCE,,db_ships
209341000,BERNSTEIN           ,,db_ships
209345000,CONTSHIP NEW        ,,db_ships
209348000,HEDY LAMARR,,db_ships
209361000,SAMSKIP INNOVATOR   ,,db_ships
209370000,ST. MARY            ,,db_ships
209380000,SAMSKIP ENDEAVOUR   ,,db_ships
209391000,BARTOK              ,,db_ships
209392000,SYLT EXPRESS        ,,db_ships
209407000,GRAND ELENA         ,,db_ships
209410000,GOLDEN BRIDGE       ,,db_ships
209414000,EAGLE EXPLORER      ,,db_ships
209415000,GIOCONDA            ,,db_ships
209440000,CHAMPION JET 1,,db_ships
209449000,ROCKPIPER           ,,db_ships
209453000,ODIN                ,,db_ships
209455000,REM FORTRESS        ,,db_ships
209462000,HYPATIA DEALEJANDRIA,,db_ships
209467000,X-PRESS AGILITY,,db_ships
209469000,FAIRWAY             ,,db_ships
209479000,OSCAR WILDE         ,,db_ships
209488000,FRI BREVIK,,db_ships
209489000,JOIDES RESOLUTION   ,,db_ships
209492000,VTS AYIA MARINA     ,,db_ships
209507000,AMARANTH            ,,db_ships
209508000,YURIY KUCHIEV,,db_ships
